id,hotel_id,url,position
1,1,images/1.jpg,1
2,1,images/2.jpg,2
3,2,images/3.jpg,1
4,2,images/4.jpg,2
5,3,images/5.jpg,1
6,3,images/6.jpg,2
7,4,images/7.jpg,1
8,4,images/8.jpg,2
9,5,images/9.jpg,1
10,5,images/10.jpg,2
11,6,images/11.jpg,1
12,7,images/12.jpg,1
13,7,images/13.jpg,2
14,8,images/14.jpg,1
15,8,images/15.jpg,2
16,9,images/16.jpg,1
17,9,images/17.jpg,2
18,10,images/18.jpg,1
19,10,images/19.jpg,2
20,11,images/20.jpg,1
21,11,images/21.jpg,2
22,12,images/22.jpg,1
23,12,images/23.jpg,2
24,13,images/24.jpg,1
25,13,images/25.jpg,2
26,14,images/26.jpg,1
27,14,images/27.jpg,2
28,15,images/28.jpg,1
29,15,images/29.jpg,2
30,16,images/30.jpg,1
31,16,images/31.jpg,2
32,17,images/32.jpg,1
33,17,images/33.jpg,2
34,18,images/34.jpg,1
35,18,images/35.jpg,2
36,19,images/36.jpg,1
37,19,images/37.jpg,2
38,20,images/38.jpg,1
39,20,images/39.jpg,2
40,21,images/40.jpg,1
41,21,images/41.jpg,2
42,22,images/42.jpg,1
43,22,images/43.jpg,2
44,23,images/44.jpg,1
45,23,images/45.jpg,2
46,24,images/46.jpg,1
47,24,images/47.jpg,2
48,25,images/48.jpg,1
49,25,images/49.jpg,2
50,26,images/50.jpg,1
51,26,images/51.jpg,2
52,27,images/52.jpg,1
53,27,images/53.jpg,2
